20,1.4797935383075458E8,597926.0,29301905,600005.0,29401421
21,1.478983460849208E8,597702.0,30565688,600014.0,30683554
22,1.297462110470197E8,597920.0,29136032,600014.0,29230264
23,1.9372532803456324E8,599184.0,26508369,600012.0,26539666
24,1.768487924794225E8,598759.0,27549353,600009.0,27605637
25,1.8952521429081854E8,595351.0,29472988,600008.0,29681666
26,1.4781622993955225E8,597958.0,27651400,600005.0,27747225
27,1.5423756795356983E8,599049.0,30799051,600002.0,30845960
28,1.5914445614844382E8,599901.0,30656386,600003.0,30660314
29,1.151830666655958E8,599725.0,30501960,600013.0,30515730
30,1.77182031095594E8,595925.0,30274870,600004.0,30483792
31,1.4359241842950305E8,597528.0,31271806,600013.0,31401153
32,1.448736542436472E8,599937.0,29476742,600000.0,29479845
33,1.8828745998677978E8,598667.0,29845285,600010.0,29911554
34,1.1466819686791751E8,599525.0,29311238,600009.0,29335222
35,1.398312384542185E8,599986.0,27369790,600001.0,27370401
36,1.4513719078856912E8,598410.0,31131707,600004.0,31212976
37,1.1471500808829524E8,591985.0,28103908,600001.0,28460982
38,1.5826225563400793E8,594188.0,29403750,600001.0,29678131
39,1.4836728438316244E8,597221.0,27844041,600003.0,27969138
