BenchmarkNumber,Evaluation,Time,Iteration,FinalTime,FinalIteration
0,1.6793309023511785E8,598951.0,26114845,600014.0,26159919
1,1.573661225758901E8,597192.0,24869772,600005.0,24987674
2,1.4891773644877392E8,598564.0,22841955,600002.0,22896044
3,1.6649558091948876E8,599596.0,26273923,600002.0,26290924
4,1.5402083123180774E8,599389.0,23286712,600014.0,23308963
5,1.4670210948601574E8,598268.0,25772332,600003.0,25843774
6,1.4214884660689223E8,599310.0,26917204,600013.0,26946727
7,1.7204201987915787E8,599472.0,22237111,600003.0,22255353
8,1.696112615194316E8,599611.0,25588337,600002.0,25603955
9,1.7169813800518855E8,599965.0,25318417,600012.0,25320200
10,1.5825574155947348E8,596567.0,24826344,600005.0,24963755
11,1.5007514683572423E8,599962.0,25410393,600009.0,25412231
12,1.5669781419489518E8,598507.0,25995195,600007.0,26058266
13,1.5719561004004323E8,599024.0,24635723,600009.0,24674442
14,1.397848898354357E8,599965.0,25131796,600012.0,25133101
15,1.567796760882647E8,599464.0,26359420,600011.0,26383166
16,1.6450004952881303E8,598584.0,20876494,600006.0,20925710
17,1.5210222997087017E8,599015.0,19402514,600015.0,19432228
18,1.4280856746575093E8,599798.0,24881288,600002.0,24889247
19,1.6164703366431084E8,599819.0,25789950,600007.0,25797906
