BenchmarkNumber,Evaluation,Time,Iteration,FinalTime,FinalIteration
0,2.1077154089112705E8,595656.0,27481659,600000.0,27678555
1,1.8138286944337827E8,599967.0,26011415,600014.0,26013008
2,1.993123419481624E8,513901.0,21462187,600005.0,24901508
3,1.8781553029930794E8,599895.0,26549074,600004.0,26553624
4,1.753640498392964E8,594690.0,25385426,600003.0,25609603
5,1.648392395590473E8,550342.0,26728230,600003.0,29132813
6,1.5558773239018643E8,594924.0,28697150,600003.0,28933569
7,2.1576287708745453E8,595498.0,21477263,600010.0,21624988
8,2.0167564219764256E8,574699.0,26218774,600014.0,27378250
9,2.0917757222093183E8,526653.0,22926787,600013.0,26025974
10,1.9553290709134528E8,597198.0,24040013,600002.0,24142892
11,1.8915868456813812E8,587247.0,22359568,600014.0,22806427
12,1.947695023453086E8,598367.0,26550960,600008.0,26622319
13,1.8409846896856678E8,569967.0,25858296,600002.0,27208420
14,1.6542487244207725E8,564930.0,25601182,600012.0,27128135
15,1.8340394743704003E8,596913.0,26138921,600007.0,26270389
16,1.8356794189550033E8,592092.0,24839719,600014.0,25164146
17,1.6807773764260793E8,599316.0,21724844,600003.0,21747968
18,1.6440256810054618E8,589965.0,27232551,600002.0,27692216
19,1.964198397963739E8,576312.0,24252318,600003.0,25254793
