BenchmarkNumber,Evaluation,Time,Iteration,FinalTime,FinalIteration
0,2.1077154089112705E8,595656.0,27481659,600000.0,27678555
1,1.8138286944337827E8,599967.0,26011415,600014.0,26013008
2,1.993123419481624E8,513901.0,21462187,600005.0,24901508
3,1.8781553029930794E8,599895.0,26549074,600004.0,26553624
4,1.753640498392964E8,594690.0,25385426,600003.0,25609603
5,1.648392395590473E8,550342.0,26728230,600003.0,29132813
6,1.5558773239018643E8,594924.0,28697150,600003.0,28933569
7,2.1576287708745453E8,595498.0,21477263,600010.0,21624988
8,2.0167564219764256E8,574699.0,26218774,600014.0,27378250
9,2.0917757222093183E8,526653.0,22926787,600013.0,26025974
10,1.9553290709134528E8,597198.0,24040013,600002.0,24142892
11,1.8915868456813812E8,587247.0,22359568,600014.0,22806427
12,1.947695023453086E8,598367.0,26550960,600008.0,26622319
13,1.8409846896856678E8,569967.0,25858296,600002.0,27208420
14,1.6542487244207725E8,564930.0,25601182,600012.0,27128135
15,1.8340394743704003E8,596913.0,26138921,600007.0,26270389
16,1.8356794189550033E8,592092.0,24839719,600014.0,25164146
17,1.6807773764260793E8,599316.0,21724844,600003.0,21747968
18,1.6440256810054618E8,589965.0,27232551,600002.0,27692216
19,1.964198397963739E8,576312.0,24252318,600003.0,25254793
20,1.782049830678027E8,598782.0,24664967,600000.0,24713238
21,1.7195315983122224E8,599420.0,26722864,600014.0,26748898
22,1.5344506438045248E8,599849.0,28360531,600005.0,28367509
23,2.1388591671348658E8,578612.0,23478174,600005.0,24341808
24,1.991858936341542E8,588283.0,23635603,600003.0,24104195
25,2.269857739191342E8,540918.0,23755132,600003.0,26309911
26,2.0794421173724648E8,599784.0,23878195,600011.0,23885874
27,2.102058545636446E8,596091.0,24715139,600014.0,24877683
28,2.1269813481868652E8,598749.0,27348780,600014.0,27404960
29,1.55167155641463E8,598936.0,27249120,600015.0,27293829
30,2.3368243144619712E8,535087.0,22704650,600013.0,25277925
31,1.9260846356675613E8,595473.0,26448387,600000.0,26640889
32,2.1206306068236342E8,596284.0,23258032,600013.0,23400238
33,2.4608231045256945E8,574065.0,22528560,600010.0,23508805
34,1.4637317755051574E8,599995.0,23745020,600011.0,23745567
35,2.0987316933017036E8,599417.0,22423355,600000.0,22443947
36,1.8120616140421367E8,599044.0,26232608,600008.0,26271793
37,1.696077252727988E8,598201.0,25844089,600004.0,25920936
38,1.9082698426207155E8,599721.0,28196083,600002.0,28207664
39,2.021106385850375E8,482845.0,22348958,600003.0,27774161
40,2.3491541137059504E8,518868.0,22737138,600000.0,26246190
41,1.7953607689657936E8,576481.0,26581454,600014.0,27651252
42,2.090368448436974E8,492556.0,21781814,600005.0,26502018
43,1.6634185139329454E8,580174.0,26445889,600005.0,27341120
44,1.8786964173433125E8,596800.0,27564477,600003.0,27707784
45,2.261202476937525E8,540809.0,24581354,600003.0,27210415
46,1.9105385197628123E8,452018.0,21038919,600010.0,27730150
47,2.1755124888157144E8,594092.0,23331419,600014.0,23558499
48,1.6654195903392026E8,596920.0,24698053,600014.0,24822591
49,1.600295204865249E8,577377.0,28965830,600004.0,30103367
50,9.715074537151055E7,598417.0,24762898,600011.0,24820665
51,1.473690873717179E8,598536.0,25562014,600005.0,25623928
52,1.630763171581158E8,596758.0,26082310,600008.0,26219405
53,1.631550317337493E8,598141.0,27312713,600001.0,27397248
54,1.2953990526959582E8,582901.0,23766890,600012.0,24437373
55,1.6319257740550125E8,599100.0,23142388,600007.0,23177767
56,2.1905794777078772E8,587899.0,25348973,600013.0,25852909
57,1.7764012482262716E8,547186.0,22351415,600003.0,24465684
58,1.801725037748293E8,596430.0,29165742,600008.0,29339508
59,1.5824258911787108E8,579281.0,27417525,600002.0,28415161
60,1.2121783613788894E8,598891.0,26192390,600000.0,26238455
61,1.8419154463769323E8,598967.0,24717870,600014.0,24759657
62,2.3748566050085884E8,575549.0,23722705,600005.0,24654259
63,1.205100664456544E8,599692.0,26609335,600005.0,26622399
64,1.6116887948340192E8,599144.0,26245422,600003.0,26282449
65,1.585910280287085E8,592314.0,21923442,600002.0,22196690
66,1.825186007249708E8,598159.0,27635004,600002.0,27717346
67,1.401662347331062E8,597685.0,25192908,600010.0,25286149
68,1.8387792592779177E8,593576.0,27067182,600014.0,27353896
69,2.0862809135352167E8,595035.0,26750276,600004.0,26968424
70,2.488288427484526E8,598495.0,25158242,600011.0,25219003
71,1.9610481231484604E8,416360.0,14954181,600005.0,21264211
