BenchmarkNumber,Evaluation,Time,Iteration,FinalTime,FinalIteration
0,1.79E+08,561459,20203723,600026,21518042
1,1.53E+08,599988,21520946,600004,21521233
2,1.65E+08,597443,15970976,600005,16029213
3,1.64E+08,599553,23029739,600007,23044584
4,1.50E+08,592755,18821831,600007,19019284
5,1.50E+08,595091,19299292,600002,19446877
6,1.42E+08,599832,22466857,600004,22471944
7,1.69E+08,598558,18117827,600027,18154484
8,1.63E+08,599880,23367580,600005,23371712
9,1.68E+08,599160,22004906,600004,22036344
10,1.52E+08,593392,20224268,600002,20435699
11,1.48E+08,598767,23065862,600001,23111772
12,1.69E+08,599719,23215425,600000,23226276
13,1.63E+08,598352,20563205,600009,20616896
14,1.41E+08,589643,21723360,600004,22075274
15,1.55E+08,598221,22962577,600005,23028371
16,1.69E+08,588862,17328528,600001,17611589
17,1.33E+08,599960,20055114,600007,20056321
18,1.40E+08,583911,21653011,600008,22210421
19,1.60E+08,598198,22144731,600011,22214783
20,1.51E+08,599587,16970254,600009,16981754
21,1.48E+08,598300,22078929,600003,22144892
22,1.27E+08,599177,21978168,600005,22007834
23,1.82E+08,592084,17222393,600006,17433119
24,1.51E+08,597898,18506606,600012,18570626
25,1.77E+08,595403,22923219,600002,23106505
26,1.57E+08,590478,18122953,600004,18410907
27,1.59E+08,598136,21027171,600011,21091951
28,1.50E+08,599803,22150805,600006,22157762
29,1.28E+08,597738,21270952,600004,21344585
30,1.65E+08,599046,23866259,600001,23902480
31,1.29E+08,582186,21616442,600001,22212905
32,1.40E+08,599032,20794586,600000,20827267
33,1.86E+08,596805,19609888,600009,19705922
34,1.19E+08,599426,23692779,600005,23715044
35,1.23E+08,575375,21520695,600002,22403178
36,1.56E+08,599410,21736678,600003,21758188
37,1.09E+08,599512,23054247,600012,23071886
38,1.41E+08,599474,21855259,600012,21872653
39,1.49E+08,577521,18766244,600008,19439803
40,2.01E+08,582039,16154076,600009,16610962
41,1.31E+08,593222,22694003,600004,22943590
42,1.54E+08,557121,19747606,600005,21164077
43,1.17E+08,599678,23070850,600006,23081669
44,1.36E+08,599585,21729467,600007,21744713
45,1.82E+08,598779,19484094,600013,19524389
46,1.46E+08,599049,21295433,600002,21328151
47,1.63E+08,599886,22034931,600011,22038970
48,1.07E+08,598849,22626574,600006,22670091
49,1.37E+08,582767,21642429,600004,22254059
50,9.35E+07,599221,19709197,600003,19734735
51,1.38E+08,599568,21481734,600006,21496105
52,1.57E+08,589781,21396537,600001,21752871
53,1.60E+08,599571,22866089,600009,22881509
54,1.14E+08,595566,18938896,600004,19059949
55,1.02E+08,593907,19474886,600005,19660141
56,1.83E+08,596019,17617481,600001,17733054
57,1.62E+08,594609,19040880,600007,19198646
58,1.76E+08,595146,22366001,600008,22534976
59,1.33E+08,599057,21765588,600011,21798246
60,1.18E+08,599948,20806189,600010,20807756
61,1.14E+08,599191,21034905,600003,21062447
62,1.79E+08,597068,19162853,600005,19249562
63,1.19E+08,599912,23976238,600006,23979094
64,1.35E+08,597601,19996699,600015,20070296
65,1.15E+08,598935,22927674,600003,22966301
66,1.41E+08,599291,24095031,600003,24122314
67,1.14E+08,569400,19725244,600012,20719335
68,1.24E+08,598631,23534643,600015,23588460
69,1.47E+08,592096,21587394,600004,21845602
70,1.82E+08,541962,19566337,600000,21420675
71,1.83E+08,587945,14136595,600009,14364236
72,1.90E+08,594812,21396018,600000,21582545
73,1.82E+08,577115,17258849,600009,17882647
74,1.74E+08,599567,17098542,600004,17108767
75,1.60E+08,595986,19843141,600005,19978603
76,1.49E+08,597863,20752984,600001,20823602
77,1.83E+08,591359,18062585,600004,18296193
78,1.74E+08,598084,16858010,600008,16904605
79,1.68E+08,593104,20877898,600011,21105578
80,1.19E+08,583336,19734058,600010,20305188
81,2.10E+08,599613,17728827,600004,17739645
82,1.60E+08,597349,20447060,600005,20530663
83,1.41E+08,599912,24163350,600006,24166381
84,1.55E+08,599460,20100821,600007,20116959
85,1.88E+08,585824,16429141,600002,16781756
86,1.35E+08,578712,19470853,600004,20132994
87,1.63E+08,595401,18457755,600011,18581472
88,1.14E+08,598130,17846535,600005,17895041
89,9.83E+07,599972,24337505,600004,24338512
90,1.12E+08,589548,22624859,600002,23016924
91,1.22E+08,594562,16467111,600001,16606480
92,1.59E+08,599923,20110472,600001,20112488
93,1.34E+08,590273,21012284,600009,21335609
94,1.20E+08,532200,19605035,600004,21806205
95,1.45E+08,597486,21281821,600002,21361908
96,1.57E+08,598996,22447744,600011,22485094
97,1.56E+08,560512,16506108,600001,17476008
98,1.36E+08,596994,22169429,600010,22280758
99,9.32E+07,588194,22816422,600008,23262272
,,,,,
