BenchmarkNumber,Evaluation,Time,Iteration,FinalTime,FinalIteration
0,1.85E+08,596507,19373965,600007,19477714
1,1.47E+08,599977,22452138,600008,22452651
2,1.63E+08,580987,15114712,600004,15556295
3,1.69E+08,519329,18386924,600012,20995423
4,1.56E+08,597204,16796025,600004,16857413
5,1.38E+08,599874,22561103,600015,22565195
6,1.41E+08,597863,22062859,600002,22135502
7,1.61E+08,597824,18428208,600000,18485634
8,1.65E+08,598181,22743090,600010,22804948
9,1.70E+08,599328,22303919,600000,22326757
10,1.61E+08,599216,20073427,600013,20099462
11,1.48E+08,596564,22868516,600004,22991930
12,1.64E+08,599462,22416534,600006,22435306
13,1.56E+08,599794,21098439,600013,21103973
14,1.39E+08,595260,21761550,600001,21918972
15,1.55E+08,595874,21258613,600014,21387676
16,1.42E+08,599313,17663417,600003,17676764
17,1.33E+08,595189,20502234,600005,20653639
18,1.42E+08,591398,21459340,600018,21734021
19,1.64E+08,592581,19805717,600004,20018488
20,1.53E+08,597772,17801446,600007,17862092
21,1.43E+08,585381,19245896,600008,19653087
22,1.32E+08,599379,20942611,600004,20965134
23,1.76E+08,541957,15598266,600012,17076011
24,1.51E+08,599566,18035298,600004,18048655
25,1.85E+08,595554,20085822,600000,20214711
26,1.55E+08,599565,18222280,600003,18235590
27,1.70E+08,599140,20382047,600000,20406760
28,1.50E+08,599042,21965069,600011,21994186
29,1.18E+08,590174,20861051,600000,21199731
30,1.61E+08,599653,22020115,600012,22031455
31,1.31E+08,598939,23062862,600004,23101307
32,1.43E+08,595805,21827061,600006,21974333
33,1.98E+08,578908,20100508,600013,20691241
34,1.06E+08,585416,22088004,600000,22617442
35,1.25E+08,598274,22991410,600008,23053057
36,1.40E+08,476647,16095252,600014,19893095
37,1.15E+08,598381,17546978,600012,17588776
38,1.43E+08,589666,20299718,600007,20640449
39,1.36E+08,594983,20120939,600015,20265762
40,1.92E+08,595069,18086385,600007,18231197
41,1.27E+08,597242,21731656,600008,21821020
42,1.59E+08,598645,18344151,600004,18386052
43,1.06E+08,544942,20693224,600012,22576800
44,1.35E+08,599706,20921006,600003,20930366
45,2.01E+08,594694,17584826,600015,17723400
46,1.27E+08,576377,22226792,600003,23130487
47,1.55E+08,592918,21176340,600000,21405438
48,1.07E+08,593431,23376323,600010,23622244
49,1.40E+08,594752,21524681,600000,21701301
50,9.24E+07,597187,20648261,600012,20736935
51,1.35E+08,596924,20704693,600004,20804733
52,1.56E+08,599337,21858551,600006,21879105
53,1.60E+08,595597,20996093,600000,21132750
54,1.19E+08,599939,19746178,600001,19747881
55,1.04E+08,596561,17909419,600014,18004581
56,1.48E+08,578566,18636405,600019,19304506
57,1.55E+08,597657,23160083,600020,23240471
58,1.76E+08,594695,22218053,600033,22406639
59,1.34E+08,593941,21377193,600004,21568162
60,1.19E+08,599867,18058075,600008,18061370
61,1.14E+08,599805,20201226,600008,20207350
62,1.81E+08,586503,18030664,600004,18453038
63,1.26E+08,596901,15081610,600012,15152323
64,1.26E+08,599478,19055497,600009,19072138
65,1.20E+08,595522,21916861,600007,22071674
66,1.32E+08,590335,22625929,600007,22986049
67,1.10E+08,599881,19208406,600006,19212089
68,1.25E+08,599444,20817845,600007,20836225
69,1.47E+08,595161,21138208,600005,21298925
70,1.66E+08,596678,21227972,600007,21352006
71,1.66E+08,599174,21102073,600002,21130704
72,1.81E+08,599625,21258948,600000,21271755
73,1.67E+08,598864,19302678,600005,19333219
74,1.72E+08,550037,14568019,600011,15832071
75,1.57E+08,593015,20702062,600000,20939065
76,1.38E+08,588690,20908347,600004,21258480
77,1.98E+08,588226,17366812,600008,17691665
78,1.88E+08,566348,15505832,600008,16270849
79,1.63E+08,462604,14534946,600012,17944641
80,1.23E+08,585396,19503961,600007,19955445
81,1.96E+08,597539,20007995,600008,20085019
82,1.68E+08,598707,18705425,600004,18745016
83,1.35E+08,583196,22516093,600012,23145967
84,1.77E+08,541480,15134208,600004,16657084
85,1.78E+08,594069,17088592,600000,17239073
86,1.54E+08,595582,20504874,600003,20648405
87,1.60E+08,587871,20171606,600000,20556886
88,1.17E+08,599135,18167088,600010,18193525
89,9.85E+07,596283,24246534,600015,24393873
90,1.11E+08,593452,23338867,600012,23582229
91,1.22E+08,587095,15914084,600004,16237262
92,1.70E+08,598869,19112218,600022,19144659
93,1.30E+08,590174,22317231,600013,22659871
94,1.20E+08,576072,22390318,600014,23268980
95,1.68E+08,597196,17952907,600008,18029056
96,1.58E+08,553905,19914965,600015,21504414
97,1.51E+08,551517,18089742,600013,19538953
98,1.14E+08,595854,22014787,600007,22165125
99,8.55E+07,466903,18172282,600014,22935521
,,,,,
