BenchmarkNumber,Evaluation,Time,Iteration,FinalTime,FinalIteration
0,1.8048177531992644E8,598239.0,24822782,600005.0,24892675
1,1.4941321343952987E8,599461.0,25815255,600007.0,25837144
2,1.573453358648933E8,598613.0,20573526,600004.0,20622837
3,1.6705588982614875E8,599159.0,25637173,600002.0,25671296
4,1.5929946219088897E8,596447.0,22459621,600007.0,22584939
5,1.4500684411466536E8,597389.0,27075860,600002.0,27189463
6,1.4431687997653586E8,596720.0,25743887,600002.0,25876930
7,1.745983004677992E8,597837.0,21331665,600009.0,21406268
8,1.7536074108643484E8,592350.0,25520841,600007.0,25834952
9,1.6822173891399264E8,592832.0,25306509,600005.0,25594383
10,1.5488946376928228E8,599472.0,26038308,600004.0,26061621
11,1.5120045002399856E8,599394.0,24897938,600003.0,24921958
12,1.6260928775990555E8,599111.0,26534254,600001.0,26575012
13,1.6117461603958657E8,595049.0,25583278,600002.0,25792403
14,1.4085369696495104E8,595307.0,24443960,600026.0,24622395
15,1.5801944841567412E8,593099.0,25203021,600006.0,25492641
16,1.5590296863179296E8,599737.0,22752427,600003.0,22761423
17,1.4042237744032118E8,598439.0,23151279,600001.0,23215534
18,1.401074002471933E8,599228.0,25662665,600001.0,25694055
19,1.608981874143257E8,596870.0,25248058,600011.0,25378040
