80,1.5605306598500508E8,540163.0,17883090,600013.0,19684767
81,2.115026480897622E8,587583.0,19462970,600006.0,19844989
82,1.615047108384465E8,599911.0,21781209,600005.0,21784529
83,1.373029830646612E8,599868.0,23919742,600008.0,23924499
84,1.5865874780337292E8,575483.0,22212726,600001.0,23098115
85,1.6980102110208905E8,588427.0,19358456,600006.0,19705388
86,1.463532136147566E8,590249.0,21210458,600000.0,21546877
87,1.6041964115749404E8,577670.0,21987642,600001.0,22769385
88,1.2271249784259221E8,598300.0,20272006,600003.0,20328396
89,9.822619970980117E7,599589.0,25709509,600011.0,25727243
90,1.5208275209354076E8,590535.0,19604080,600005.0,19851976
91,1.1667261448136535E8,589734.0,20226877,600001.0,20549861
92,1.7163056730237687E8,599624.0,22599650,600013.0,22612072
93,1.386804923567487E8,597868.0,22363368,600002.0,22437324
94,1.3847391283975255E8,598233.0,22711177,600009.0,22774605
95,1.482992785305436E8,583430.0,23483259,600003.0,24077346
96,1.593034939475751E8,599677.0,24815335,600005.0,24827434
97,1.5378130778001592E8,568484.0,19193931,600013.0,20089284
98,1.2962583925753532E8,599911.0,24625425,600005.0,24628855
99,7.809076251166876E7,599786.0,26271567,600005.0,26280413
