BenchmarkNumber,Evaluation,Time,Iteration,FinalTime,FinalIteration
0,1.78568890947824E8,561459.0,20203723,600026.0,21518042
1,1.5259665967716724E8,599988.0,21520946,600004.0,21521233
2,1.6544564788749436E8,597443.0,15970976,600005.0,16029213
3,1.6398320988887522E8,599553.0,23029739,600007.0,23044584
4,1.4951394971287912E8,592755.0,18821831,600007.0,19019284
5,1.4994018535002556E8,595091.0,19299292,600002.0,19446877
6,1.4183762240104067E8,599832.0,22466857,600004.0,22471944
7,1.69149284995948E8,598558.0,18117827,600027.0,18154484
8,1.630206447530249E8,599880.0,23367580,600005.0,23371712
9,1.6794831112366804E8,599160.0,22004906,600004.0,22036344
10,1.5227518351117235E8,593392.0,20224268,600002.0,20435699
11,1.4834169814180192E8,598767.0,23065862,600001.0,23111772
12,1.687931619662835E8,599719.0,23215425,600000.0,23226276
13,1.6276846611778158E8,598352.0,20563205,600009.0,20616896
14,1.40662407764554E8,589643.0,21723360,600004.0,22075274
15,1.5527586784679687E8,598221.0,22962577,600005.0,23028371
16,1.6924265056746775E8,588862.0,17328528,600001.0,17611589
17,1.3308626205416852E8,599960.0,20055114,600007.0,20056321
18,1.4019740447577807E8,583911.0,21653011,600008.0,22210421
19,1.5985464356022248E8,598198.0,22144731,600011.0,22214783
