BenchmarkNumber,Evaluation,Time,Iteration,FinalTime,FinalIteration
0,1.963149916756086E8,599615.0,28068919,600005.0,28086106
1,1.5177872261145148E8,599482.0,30041610,600014.0,30067366
2,1.6213128900681084E8,599624.0,27271288,600014.0,27288125
3,1.6976993787638885E8,596715.0,29362303,600012.0,29510073
4,1.516135847658178E8,599696.0,28881678,600004.0,28895351
5,1.499777788722805E8,599071.0,30986973,600008.0,31035261
6,1.443597895706523E8,598036.0,30556490,600044.0,30653008
7,1.7975614101288185E8,599626.0,27610085,600004.0,27626092
8,1.6542059556073585E8,599748.0,30039622,600014.0,30051214
9,1.8191786761974967E8,598261.0,29589638,600002.0,29667145
10,1.555300072384631E8,599941.0,29632826,600003.0,29635670
11,1.5054483239261204E8,598320.0,29191380,600005.0,29265478
12,1.587998208636154E8,599923.0,31781689,600001.0,31784709
13,1.631083538299846E8,594454.0,28916341,600008.0,29176662
14,1.4072017915971324E8,597985.0,30650974,600007.0,30750140
15,1.5917259271907344E8,597846.0,30695912,600002.0,30802010
16,1.4473186919162703E8,599754.0,28181932,600001.0,28192410
17,1.3955078111137867E8,597579.0,28813409,600004.0,28924262
18,1.4184680562946308E8,598782.0,30056464,600001.0,30115792
19,1.6433209004717165E8,599409.0,29315364,600003.0,29343752
