BenchmarkNumber,Evaluation,Time,Iteration,FinalTime,FinalIteration
0,1.9007501853796983E8,595788.0,19711265,600007.0,19840424
1,1.4932257894121608E8,597638.0,22528651,600013.0,22616603
2,1.52961817781513E8,598069.0,18721832,600007.0,18784626
3,1.6901897878674516E8,599689.0,23849175,600001.0,23860285
4,1.537749988201314E8,595642.0,16626504,600002.0,16722807
5,1.445261461138071E8,598330.0,22824633,600002.0,22888011
6,1.4144967046011537E8,599923.0,23514135,600001.0,23516769
7,1.863996147758218E8,597511.0,16802804,600012.0,16862814
8,1.7325769344809058E8,599855.0,22336608,600011.0,22342106
9,1.7702760978494257E8,599022.0,20994170,600007.0,21029250
10,1.5630061210164446E8,597128.0,23228977,600003.0,23338245
11,1.4954833198872912E8,597045.0,21843635,600014.0,21938040
12,1.7152224222830445E8,599918.0,22656067,600011.0,22659783
13,1.6412380505779615E8,596753.0,19311344,600003.0,19409819
14,1.363613634154422E8,596779.0,24136641,600010.0,24259848
15,1.5871249586295977E8,599477.0,21765548,600010.0,21781674
16,1.4650188247483158E8,599893.0,19344953,600000.0,19347989
17,1.425080527254424E8,599003.0,18772659,600008.0,18801180
18,1.4532953487327966E8,599597.0,21929358,600003.0,21942465
19,1.5930120075526902E8,599362.0,23363826,600002.0,23387697
